ctgA	140035206	147936	90.76	238	11	11	45001	45233	141506	141737	3e-78	307.0
ctgA	140035206	147936	100.00	36	0	0	44971	45006	141446	141481	6e-06	67.6
ctgA	91625687	117682	90.76	238	11	11	45001	45233	60428	60659	3e-78	307.0
ctgA	91625687	117682	100.00	36	0	0	44971	45006	60368	60403	6e-06	67.6
ctgA	90992565	198721	90.76	238	11	11	45001	45233	197509	197278	3e-78	307.0
ctgA	90992565	198721	100.00	36	0	0	44971	45006	197569	197534	6e-06	67.6
ctgA	90992535	106010	90.76	238	11	11	45001	45233	59916	60147	3e-78	307.0
ctgA	90992535	106010	100.00	36	0	0	44971	45006	59856	59891	6e-06	67.6
ctgA	90992479	124907	90.76	238	11	11	45001	45233	112955	113186	3e-78	307.0
ctgA	90992419	128114	90.76	238	11	11	45001	45233	127394	127625	3e-78	307.0
ctgA	90992419	128114	100.00	36	0	0	44971	45006	127334	127369	6e-06	67.6
ctgA	90992408	106585	90.76	238	11	11	45001	45233	102333	102102	3e-78	307.0
ctgA	90992408	106585	100.00	36	0	0	44971	45006	102393	102358	6e-06	67.6
ctgA	90992403	179508	90.76	238	11	11	45001	45233	178617	178386	3e-78	307.0
ctgA	90992403	179508	100.00	36	0	0	44971	45006	178677	178642	6e-06	67.6
ctgA	90992366	137413	90.76	238	11	11	45001	45233	129845	129614	3e-78	307.0
ctgA	90992366	137413	100.00	36	0	0	44971	45006	129905	129870	6e-06	67.6
ctgA	90992305	120830	90.76	238	11	11	45001	45233	113915	114146	3e-78	307.0
ctgA	90992305	120830	100.00	33	0	0	44971	45003	113855	113887	3e-04	62.1
ctgA	90992274	124441	90.76	238	11	11	45001	45233	89176	88945	3e-78	307.0
ctgA	90992274	124441	100.00	36	0	0	44971	45006	89236	89201	6e-06	67.6
ctgA	90992244	153864	90.76	238	11	11	45001	45233	153088	153319	3e-78	307.0
ctgA	90992244	153864	100.00	36	0	0	44971	45006	153028	153063	6e-06	67.6
ctgA	90992240	162751	90.76	238	11	11	45001	45233	157216	156985	3e-78	307.0
ctgA	90992240	162751	100.00	36	0	0	44971	45006	157276	157241	6e-06	67.6
ctgA	90992237	146099	90.76	238	11	11	45001	45233	145279	145510	3e-78	307.0
ctgA	90992237	146099	100.00	36	0	0	44971	45006	145219	145254	6e-06	67.6
ctgA	90992212	99672	90.76	238	11	11	45001	45233	98908	99139	3e-78	307.0
ctgA	90992212	99672	100.00	36	0	0	44971	45006	98848	98883	6e-06	67.6
ctgA	90992200	137962	90.76	238	11	11	45001	45233	130664	130895	3e-78	307.0
ctgA	90992200	137962	100.00	36	0	0	44971	45006	130603	130638	6e-06	67.6
ctgA	90992199	209520	90.76	238	11	11	45001	45233	163972	164203	3e-78	307.0
ctgA	90992199	209520	100.00	36	0	0	44971	45006	163912	163947	6e-06	67.6
ctgA	90992197	175792	90.76	238	11	11	45001	45233	171262	171493	3e-78	307.0
ctgA	90992197	175792	100.00	36	0	0	44971	45006	171202	171237	6e-06	67.6
ctgA	90992194	169739	90.76	238	11	11	45001	45233	144755	144986	3e-78	307.0
ctgA	90992194	169739	100.00	36	0	0	44971	45006	144695	144730	6e-06	67.6
ctgA	90992184	178656	90.76	238	11	11	45001	45233	157570	157801	3e-78	307.0
ctgA	90992184	178656	100.00	36	0	0	44971	45006	157510	157545	6e-06	67.6
ctgA	90992178	161407	90.76	238	11	11	45001	45233	140352	140583	3e-78	307.0
ctgA	90992178	161407	100.00	36	0	0	44971	45006	140292	140327	6e-06	67.6
ctgA	90992155	142688	90.76	238	11	11	45001	45233	141947	142178	3e-78	307.0
ctgA	90992155	142688	100.00	36	0	0	44971	45006	141887	141922	6e-06	67.6
ctgA	90992092	133847	90.76	238	11	11	45001	45233	133110	133341	3e-78	307.0
ctgA	90992092	133847	100.00	36	0	0	44971	45006	133050	133085	6e-06	67.6
ctgA	90992073	159174	90.76	238	11	11	45001	45233	152769	152538	3e-78	307.0
ctgA	90992073	159174	100.00	36	0	0	44971	45006	152829	152794	6e-06	67.6
ctgA	90992062	152451	90.76	238	11	11	45001	45233	147850	148081	3e-78	307.0
ctgA	90992004	257006	90.76	238	11	11	45001	45233	243647	243416	3e-78	307.0
ctgA	90992004	257006	100.00	36	0	0	44971	45006	243707	243672	6e-06	67.6
ctgA	90991984	145371	90.76	238	11	11	45001	45233	144639	144870	3e-78	307.0
ctgA	90991984	145371	100.00	36	0	0	44971	45006	144579	144614	6e-06	67.6
ctgA	90991973	166251	90.76	238	11	11	45001	45233	163639	163408	3e-78	307.0
ctgA	90991973	166251	100.00	36	0	0	44971	45006	163699	163664	6e-06	67.6
ctgA	90991965	152635	90.76	238	11	11	45001	45233	43443	43674	3e-78	307.0
ctgA	90991965	152635	100.00	36	0	0	44971	45006	43383	43418	6e-06	67.6
ctgA	90991957	161472	90.76	238	11	11	45001	45233	144941	144710	3e-78	307.0
ctgA	90991957	161472	100.00	36	0	0	44971	45006	145001	144966	6e-06	67.6
